iter	RMSE
0	5.384300951
1	5.139528205
2	4.922165853
3	4.747214928
4	4.591545626
5	4.49078734
6	4.365070735
7	4.258186264
8	4.13431483
9	4.010478459
10	3.948259518
11	3.867838226
12	3.750338587
13	3.694464745
14	3.638762654
15	3.522234894
16	3.404943211
17	3.307716659
18	3.220843509
19	3.17721123
20	3.138811997
21	3.103642694
22	3.000120355
23	2.891595663
24	2.845368007
25	2.764492441
26	2.713288299
27	2.616022216
28	2.495551129
29	2.415959408
30	2.319640464
31	2.237010204
32	2.187401205
33	2.148610507
34	2.056066727
35	2.043171177
36	1.996696074
37	1.932024742
38	1.857779996
39	1.778245762
40	1.719344463
41	1.68072694
42	1.610296887
43	1.555727784
44	1.530633168
45	1.487368739
46	1.435092011
47	1.405891653
48	1.361729923
49	1.32803895
50	1.294577116
51	1.260588009
52	1.232364869
53	1.218440367
54	1.191892848
55	1.153598794
56	1.106717681
57	1.088397186
58	1.068976388
59	1.032094515
60	1.008980297
61	1.002392117
62	0.963086955
63	0.9379602006
64	0.9167021155
65	0.9083561067
66	0.8748185558
67	0.8685842738
68	0.846269205
69	0.8335077424
70	0.827552259
71	0.7996247207
72	0.7965297341
73	0.7782788709
74	0.773736958
75	0.7495099369
76	0.725957173
77	0.7241743481
78	0.6976917247
79	0.6804857267
80	0.6678161229
81	0.6538598301
82	0.6511537652
83	0.6295598397
84	0.6270000863
85	0.6121785193
86	0.596447637
87	0.5889399028
88	0.5761323792
89	0.5603527294
90	0.5534657456
91	0.5502541222
92	0.5460825996
93	0.5272121542
94	0.5261896088
95	0.5103688107
96	0.4987250618
97	0.4972714636
98	0.4803849292
99	0.4732083916
