Model,MAE,RMSE,MAPE,WAPE,R2
"ARIMA (1,1,1)",4.953757368702774,6.44575731084674,23.891303001226184,21.83875401338475,-0.01274999706953861
"SARIMA (1,1,1)(1,1,1,7)",4.765463406666238,6.396863104213891,22.74861324011809,21.00865572373066,0.0025561330458552245
Moving Average (7d),5.619976349639331,7.4471980578934875,23.805980714019277,24.775795810312996,-0.35188627513608384
RandomForest,3.530993378548407,4.620562613858227,17.06499688502786,15.566466033277326,0.4795918726045696
XGBoost,3.5926474889119464,4.931692504628165,15.935359972600214,15.838269605783747,0.4071479429291265
CatBoost,3.148632150141202,4.1566278965589545,14.117665201518253,13.880817708190454,0.5788501534059569
