Model,MAE,RMSE,MAPE,WAPE,SMAPE,R2
Moving Average (7d),7.51178273768418,14.0734708487104,31.854197890574422,32.29021987072329,27.993482725009525,-0.17959431443051782
Weighted Moving Average (7d),7.599725463778085,14.173401794099375,32.27865684345945,32.68454153855929,28.274190563462483,-0.20180852432538485
Seasonal Naive (7d),9.265554213228631,18.54931325423838,39.51029597693693,39.82079929651406,32.59320166055348,-1.0355538778173046
Exponential Smoothing,6.99517379103182,13.570342538151007,29.586992186690303,30.073840357086542,26.7252488206343,-0.0965916942865012
